"ID","NATC","NATC_ID","Type"
571,"Transformed",3,"No cluster"
572,"Abandoned",2,"No cluster"
573,"Abandoned",2,"No cluster"
574,"Abandoned",2,"No cluster"
575,"Continuous",4,"Clump"
576,"Continuous",4,"Clump"
577,"Abandoned",2,"No cluster"
578,"Abandoned",2,"No cluster"
579,"Continuous",4,"Clump"
580,"Transformed",3,"No cluster"
581,"Continuous",4,"Clump"
582,"Never",1,"Clump"
583,"Never",1,"Clump"
584,"Continuous",4,"Clump"
585,"Abandoned",2,"No cluster"
597,"Never",1,"Clump"
586,"Continuous",4,"Clump"
587,"Continuous",4,"Clump"
588,"Abandoned",2,"No cluster"
589,"Never",1,"Clump"
590,"Continuous",4,"Clump"
591,"Abandoned",2,"No cluster"
592,"Never",1,"Clump"
593,"Never",1,"Clump"
594,"Abandoned",2,"No cluster"
595,"Abandoned",2,"No cluster"
596,"Never",1,"Clump"
597,"Never",1,"Clump"
598,"Continuous",4,"Clump"
599,"Continuous",4,"Clump"
600,"Continuous",4,"Clump"
601,"Continuous",4,"Clump"
602,"Never",1,"Clump"
603,"Transformed",3,"No cluster"
604,"Continuous",4,"Clump"
605,"Abandoned",2,"No cluster"
498,"Never",1,"No cluster"
606,"Abandoned",2,"No cluster"
607,"Never",1,"Clump"
597,"Never",1,"Clump"
608,"Continuous",4,"Clump"
609,"Abandoned",2,"No cluster"
610,"Continuous",4,"Cluster"
611,"Continuous",4,"Cluster"
612,"Continuous",4,"Cluster"
613,"Continuous",4,"Clump"
614,"Continuous",4,"Clump"
615,"Continuous",4,"Clump"
616,"Abandoned",2,"No cluster"
617,"Continuous",4,"Clump"
618,"Abandoned",2,"No cluster"
619,"Continuous",4,"Clump"
620,"Abandoned",2,"No cluster"
621,"Abandoned",2,"No cluster"
622,"Continuous",4,"Clump"
623,"Never",1,"No cluster"
624,"Continuous",4,"Clump"
625,"Abandoned",2,"No cluster"
626,"Continuous",4,"Clump"
627,"Never",1,"Clump"
628,"Abandoned",2,"No cluster"
629,"Never",1,"Clump"
630,"Continuous",4,"Clump"
597,"Never",1,"Clump"
631,"Abandoned",2,"No cluster"
632,"Continuous",4,"Clump"
633,"Continuous",4,"Clump"
634,"Never",1,"Clump"
635,"Transformed",3,"No cluster"
636,"Continuous",4,"Clump"
637,"Never",1,"Clump"
638,"Continuous",4,"Clump"
639,"Never",1,"No cluster"
597,"Never",1,"Clump"
640,"Never",1,"No cluster"
641,"Continuous",4,"Clump"
642,"Continuous",4,"Clump"
643,"Abandoned",2,"No cluster"
644,"Continuous",4,"Clump"
645,"Continuous",4,"Clump"
646,"Continuous",4,"Clump"
647,"Continuous",4,"Clump"
648,"Continuous",4,"Clump"
649,"Abandoned",2,"No cluster"
650,"Continuous",4,"No cluster"
651,"Continuous",4,"Clump"
652,"Transformed",3,"No cluster"
653,"Continuous",4,"No cluster"
654,"Abandoned",2,"No cluster"
655,"Abandoned",2,"Dispersed"
656,"Never",1,"No cluster"
657,"Never",1,"Clump"
658,"Abandoned",2,"No cluster"
659,"Continuous",4,"Clump"
498,"Never",1,"No cluster"
660,"Never",1,"Clump"
661,"Never",1,"Clump"
662,"Never",1,"Clump"
663,"Never",1,"Clump"
664,"Never",1,"Clump"
665,"Never",1,"Clump"
666,"Never",1,"Clump"
667,"Never",1,"No cluster"
668,"Never",1,"No cluster"
669,"Never",1,"Clump"
670,"Never",1,"Clump"
671,"Never",1,"Clump"
672,"Never",1,"Clump"
673,"Never",1,"Clump"
674,"Never",1,"Clump"
675,"Never",1,"Clump"
676,"Never",1,"No cluster"
677,"Never",1,"Clump"
678,"Never",1,"Clump"
679,"Never",1,"Clump"
680,"Never",1,"No cluster"
681,"Never",1,"No cluster"
682,"Never",1,"No cluster"
683,"Never",1,"No cluster"
684,"Never",1,"No cluster"
685,"Never",1,"No cluster"
686,"Never",1,"Clump"
687,"Never",1,"No cluster"
688,"Never",1,"No cluster"
689,"Never",1,"No cluster"
690,"Never",1,"Clump"
691,"Never",1,"Clump"
692,"Never",1,"Clump"
693,"Never",1,"Clump"
694,"Never",1,"Clump"
695,"Never",1,"Clump"
696,"Never",1,"Clump"
697,"Abandoned",2,"No cluster"
698,"Abandoned",2,"No cluster"
699,"Never",1,"Clump"
700,"Abandoned",2,"No cluster"
701,"Abandoned",2,"No cluster"
702,"Continuous",4,"Clump"
703,"Never",1,"Clump"
704,"Transformed",3,"No cluster"
705,"Abandoned",2,"No cluster"
706,"Abandoned",2,"No cluster"
707,"Abandoned",2,"No cluster"
708,"Never",1,"Clump"
709,"Never",1,"Clump"
710,"Continuous",4,"Clump"
711,"Continuous",4,"Clump"
712,"Continuous",4,"Clump"
713,"Abandoned",2,"No cluster"
714,"Continuous",4,"Clump"
715,"Abandoned",2,"No cluster"
716,"Continuous",4,"Clump"
717,"Abandoned",2,"No cluster"
718,"Continuous",4,"Cluster"
719,"Abandoned",2,"No cluster"
720,"Continuous",4,"Clump"
721,"Abandoned",2,"No cluster"
722,"Abandoned",2,"No cluster"
723,"Abandoned",2,"No cluster"
724,"Abandoned",2,"No cluster"
725,"Abandoned",2,"No cluster"
726,"Transformed",3,"No cluster"
726,"Transformed",3,"No cluster"
726,"Transformed",3,"No cluster"
727,"Continuous",4,"Clump"
728,"Never",1,"Clump"
729,"Continuous",4,"Clump"
730,"Never",1,"Clump"
731,"Never",1,"Clump"
732,"Never",1,"Clump"
733,"Never",1,"Clump"
734,"Never",1,"Clump"
735,"Never",1,"Clump"
736,"Never",1,"Clump"
737,"Never",1,"Clump"
738,"Never",1,"Clump"
739,"Never",1,"Clump"
740,"Continuous",4,"Clump"
741,"Continuous",4,"Clump"
742,"Continuous",4,"Clump"
743,"Continuous",4,"Clump"
744,"Transformed",3,"No cluster"
745,"Never",1,"Clump"
746,"Never",1,"Clump"
747,"Never",1,"Clump"
748,"Continuous",4,"Cluster"
749,"Never",1,"Clump"
750,"Never",1,"No cluster"
751,"Continuous",4,"Clump"
752,"Abandoned",2,"No cluster"
753,"Never",1,"Clump"
754,"Continuous",4,"Clump"
755,"Continuous",4,"Clump"
756,"Never",1,"Clump"
757,"Never",1,"Clump"
758,"Continuous",4,"Clump"
759,"Continuous",4,"Clump"
760,"Continuous",4,"Clump"
761,"Continuous",4,"Clump"
762,"Never",1,"No cluster"
763,"Never",1,"No cluster"
764,"Continuous",4,"Cluster"
765,"Transformed",3,"No cluster"
766,"Transformed",3,"No cluster"
767,"Continuous",4,"Cluster"
768,"Continuous",4,"Cluster"
769,"Never",1,"Clump"
770,"Continuous",4,"Clump"
771,"Never",1,"Clump"
772,"Continuous",4,"Clump"
773,"Continuous",4,"Clump"
774,"Continuous",4,"Clump"
775,"Never",1,"No cluster"
776,"Continuous",4,"Clump"
777,"Continuous",4,"Clump"
778,"Never",1,"Clump"
779,"Continuous",4,"Clump"
780,"Continuous",4,"Clump"
781,"Continuous",4,"Clump"
782,"Continuous",4,"Clump"
783,"Continuous",4,"Clump"
784,"Never",1,"Clump"
785,"Continuous",4,"Clump"
786,"Abandoned",2,"No cluster"
787,"Abandoned",2,"No cluster"
788,"Continuous",4,"Clump"
789,"Continuous",4,"Clump"
790,"Abandoned",2,"No cluster"
791,"Continuous",4,"Clump"
792,"Continuous",4,"Clump"
793,"Continuous",4,"No cluster"
794,"Never",1,"No cluster"
795,"Never",1,"Clump"
796,"Never",1,"Clump"
798,"Continuous",4,"Clump"
799,"Continuous",4,"Clump"
800,"Never",1,"Clump"
801,"Continuous",4,"Cluster"
802,"Never",1,"Clump"
803,"Never",1,"No cluster"
804,"Continuous",4,"Clump"
805,"Never",1,"No cluster"
806,"Never",1,"No cluster"
807,"Never",1,"Clump"
808,"Never",1,"Clump"
809,"Continuous",4,"Clump"
810,"Abandoned",2,"No cluster"
811,"Transformed",3,"No cluster"
812,"Continuous",4,"Clump"
813,"Continuous",4,"Clump"
814,"Continuous",4,"Clump"
815,"Abandoned",2,"No cluster"
816,"Abandoned",2,"No cluster"
817,"Abandoned",2,"No cluster"
818,"Continuous",4,"Clump"
819,"Never",1,"Clump"
820,"Never",1,"No cluster"
821,"Never",1,"Clump"
822,"Never",1,"Clump"
823,"Never",1,"Clump"
824,"Never",1,"Clump"
825,"Never",1,"No cluster"
826,"Never",1,"No cluster"
827,"Continuous",4,"Clump"
828,"Continuous",4,"Clump"
829,"Continuous",4,"Clump"
830,"Transformed",3,"No cluster"
831,"Transformed",3,"No cluster"
832,"Continuous",4,"Cluster"
833,"Never",1,"No cluster"
834,"Continuous",4,"Clump"
835,"Continuous",4,"Clump"
825,"Never",1,"Clump"
836,"Transformed",3,"No cluster"
837,"Continuous",4,"Clump"
838,"Never",1,"Clump"
839,"Continuous",4,"Clump"
840,"Never",1,"Clump"
841,"Never",1,"Clump"
842,"Continuous",4,"Cluster"
843,"Transformed",3,"No cluster"
844,"Never",1,"Clump"
845,"Continuous",4,"Clump"
846,"Never",1,"Clump"
847,"Never",1,"Clump"
848,"Abandoned",2,"No cluster"
